canonical_key,term_de,article,pos,translations_ja,translations_en,prateritum,partizip_ii,plural,notes,levels,sources,categories
kurz,kurz,,adj,短い,short,,,,,A1,german_vocab_master.xlsx,adj | A1
kurzfristig,kurzfristig,,adj,短期的な,short-term,,,,,C1,german_vocab_master.xlsx,adj | C1
kälte,die Kälte,die,noun,寒さ,cold,,,,,A2,german_vocab_master.xlsx,Wetter | noun | A2
kämpfen für/gegen (+akk.),kämpfen für/gegen (+Akk.),,verb,〜のために戦う,to fight for / against,kämpfte,gekämpft,,,B1,german_vocab_master.xlsx,verb | B1
käse,der Käse,der,noun,チーズ,cheese,,,die Käse,,A1,german_vocab_master.xlsx,Essen | noun | A1
köchin,die Köchin,die,noun,料理人（女）,cook (f),,,die Köchinnen,,A2,german_vocab_master.xlsx,noun | A2
können,können,,verb,〜できる,"can, to be able to",konnte,hat gekonnt,,modal,A1,german_vocab_master.xlsx,verb | A1
körper,der Körper,der,noun,体,body,,,die Körper,,A1,german_vocab_master.xlsx,noun | A1
körperhaltung,die Körperhaltung,die,noun,姿勢,posture / body posture,,,die Körperhaltungen,,B1,german_vocab_master.xlsx,noun | B1
körpersprache,die Körpersprache,die,noun,ボディランゲージ,body language,,,(uncountable),,B1,german_vocab_master.xlsx,noun | B1
küche,die Küche,die,noun,キッチン,kitchen,,,die Küchen,,A1,german_vocab_master.xlsx,Essen | Wohnen | noun | A1
kühl,kühl,,adj,涼しい,cool,,,,,A1,german_vocab_master.xlsx,Wetter | adj | A1
kündigen,kündigen,,verb,解雇する／退職する,"to quit, to fire",kündigte,hat gekündigt,,,A2,german_vocab_master.xlsx,Arbeit | verb | A2
kündigung,die Kündigung,die,noun,解雇／退職,termination,,,die Kündigungen,,A2,german_vocab_master.xlsx,Arbeit | noun | A2
künstler,der Künstler,der,noun,芸術家,artist (m),,,die Künstler,,A2,german_vocab_master.xlsx,Wohnen | noun | A2
künstlerin,die Künstlerin,die,noun,芸術家（女）,artist (f),,,die Künstlerinnen,,A2,german_vocab_master.xlsx,Wohnen | noun | A2
künstliche intelligenz,die Künstliche Intelligenz,die,noun,人工知能,artificial intelligence,,,,,B2,german_vocab_master.xlsx,Wissenschaft | noun | B2
kürzlich,kürzlich,,adv,つい先日,recently,,,,,A2,german_vocab_master.xlsx,adv | A2
lachs,der Lachs,der,noun,鮭,salmon,,,die Lachse,,A2,german_vocab_master.xlsx,Essen | noun | A2
lage,die Lage,die,noun,状況／位置,situation / location / position,,,die Lagen,,B1,german_vocab_master.xlsx,noun | B1
lampe,die Lampe,die,noun,ランプ,lamp,,,die Lampen,,A1,german_vocab_master.xlsx,Wohnen | noun | A1
land,das Land,das,noun,国／田舎,"country, land",,,die Länder,,A1,german_vocab_master.xlsx,noun | A1
landen,landen,,verb,着陸する,to land,landete,gelandet,,,B1,german_vocab_master.xlsx,verb | B1
landkarte,die Landkarte,die,noun,地図,map,,,die Landkarten,,A2,german_vocab_master.xlsx,Reisen | noun | A2
landung,die Landung,die,noun,着陸,landing,,,die Landungen,,A2,german_vocab_master.xlsx,noun | A2
landwirtschaft,die Landwirtschaft,die,noun,農業,agriculture / farming,,,(uncountable),,B1,german_vocab_master.xlsx,noun | B1
lang,lang,,adj,長い,long,,,,,A1,german_vocab_master.xlsx,adj | A1
langfristig,langfristig,,adj/adv,長期的な,long-term,,,,,B1,german_vocab_master.xlsx,adj/adv | B1
langsam,langsam,,adj,遅い,slow,,,,,A1,german_vocab_master.xlsx,adj | A1
langweilig,langweilig,,adj,退屈な,boring,,,,,A1,german_vocab_master.xlsx,Gefühle | adj | A1
laptop,der Laptop,der,noun,ノートPC,laptop,,,die Laptops,,A2,german_vocab_master.xlsx,noun | A2
laufen,laufen,,verb,走る／歩く,to run / walk / work,lief,gelaufen,,,B1,german_vocab_master.xlsx,Arbeit | verb | B1
laune,die Laune,die,noun,機嫌,mood,,,die Launen,,B2,german_vocab_master.xlsx,Gefühle | noun | B2
laut,laut,,adj,うるさい,loud,,,,,A2,german_vocab_master.xlsx,adj | A2
lauten,lauten,,verb,〜という内容である,to read / state / go (of text),lautete,gelautet,,,B1,german_vocab_master.xlsx,Freizeit | verb | B1
leben,leben,,verb,生きる,to live,lebte,hat gelebt,,,A1,german_vocab_master.xlsx,verb | A1
lebendig,lebendig,,adj,生き生きとした,lively / vivid / alive,,,,,B1,german_vocab_master.xlsx,adj | B1
lebenslange lernen,das lebenslange Lernen,das,noun,生涯学習,lifelong learning,,,,,B2,german_vocab_master.xlsx,Bildung | noun | B2
lebenslauf,der Lebenslauf,der,noun,履歴書,"CV, résumé",,,die Lebensläufe,,A2,german_vocab_master.xlsx,Arbeit | noun | A2
lebenswert,lebenswert,,adj,住む価値のある,worth living / livable,,,,,B1,german_vocab_master.xlsx,adj | B1
leber,die Leber,die,noun,肝臓,liver,,,die Lebern,,A2,german_vocab_master.xlsx,Gesundheit | noun | A2
lecker,lecker,,adj,美味しい,tasty,,,,,A1,german_vocab_master.xlsx,Essen | adj | A1
ledig,ledig,,adj,独身の,single,,,,,A1,german_vocab_master.xlsx,adj | A1
leer,leer,,adj,空の,empty,,,,,A1,german_vocab_master.xlsx,adj | A1
legal,legal,,adj,合法の,legal,,,,,B2,german_vocab_master.xlsx,adj | B2
legitimation,die Legitimation,die,noun,正当性,legitimation,,,die Legitimationen,,C1,german_vocab_master.xlsx,noun | C1
legitimieren,legitimieren,,verb,正当化する,to legitimize,legitimierte,hat legitimiert,,,C1,german_vocab_master.xlsx,verb | C1
lehrer,der Lehrer,der,noun,教師（男）,teacher (m),,,die Lehrer,,A1,german_vocab_master.xlsx,Schule | noun | A1
lehrerin,die Lehrerin,die,noun,教師（女）,teacher (f),,,die Lehrerinnen,,A1,german_vocab_master.xlsx,Schule | noun | A1
lehrplan,der Lehrplan,der,noun,学習指導要領,curriculum,,,die Lehrpläne,,B2,german_vocab_master.xlsx,Bildung | noun | B2
leicht,leicht,,adj,軽い／簡単な,"light, easy",,,,,A1,german_vocab_master.xlsx,adj | A1
leiden an (+dat.),leiden an (+Dat.),,verb,〜を患う,to suffer from,litt,gelitten,,,B1,german_vocab_master.xlsx,verb | B1
leider,leider,,adv,残念ながら,unfortunately,,,,,A2,german_vocab_master.xlsx,adv | A2
leise,leise,,adj,静かな,quiet,,,,,A2,german_vocab_master.xlsx,adj | A2
leitfaden,der Leitfaden,der,noun,ガイド／指針,guide,,,die Leitfäden,,C1,german_vocab_master.xlsx,noun | C1
lernen,lernen,,verb,学ぶ,to learn,lernte,hat gelernt,,,A1,german_vocab_master.xlsx,Schule | verb | A1
lesbar,lesbar,,adj,読める,readable / legible,,,,,B1,german_vocab_master.xlsx,adj | B1
lesen,lesen,,verb,読む,to read,las,hat gelesen,,,A1,german_vocab_master.xlsx,Freizeit | verb | A1
leser,der Leser,der,noun,読者,reader,,,die Leser,,B2,german_vocab_master.xlsx,Medien | noun | B2
letzten endes,letzten Endes,,phrase,結局,in the end,,,,,C1,german_vocab_master.xlsx,phrase | C1
letztlich,letztlich,,adv,最終的に,ultimately,,,,,C1,german_vocab_master.xlsx,adv | C1
leute,die Leute,die,noun,人々,people,,,,plural,A1,german_vocab_master.xlsx,noun | A1
liebe,die Liebe,die,noun,愛,love,,,,no plural,A1,german_vocab_master.xlsx,Gefühle | noun | A1
lieben,lieben,,verb,愛する,to love,liebte,hat geliebt,,,A1,german_vocab_master.xlsx,Gefühle | verb | A1
lied,das Lied,das,noun,歌,song,,,die Lieder,,A2,german_vocab_master.xlsx,Freizeit | noun | A2
lieferant,der Lieferant,der,noun,供給業者,supplier,,,die Lieferanten,n-decl,B2,german_vocab_master.xlsx,Wirtschaft | noun | B2
liefern,liefern,,verb,届ける,to deliver / supply,lieferte,geliefert,,,B1,german_vocab_master.xlsx,verb | B1
lieferung,die Lieferung,die,noun,配送,delivery,,,die Lieferungen,,B2,german_vocab_master.xlsx,Wirtschaft | noun | B2
lila,lila,,adj,紫の,purple,,,,uninflected,A1,german_vocab_master.xlsx,Farben | adj | A1
linie,die Linie,die,noun,線／路線,line / route / policy,,,die Linien,,B1,german_vocab_master.xlsx,noun | B1
links,links,,adv,左に,left,,,,,A1,german_vocab_master.xlsx,adv | A1
lippe,die Lippe,die,noun,唇,lip,,,die Lippen,,A2,german_vocab_master.xlsx,noun | A2
lob,das Lob,das,noun,賞賛,praise,,,,,B2,german_vocab_master.xlsx,noun | B2
lobby,die Lobby,die,noun,ロビー,lobby,,,die Lobbys,,C1,german_vocab_master.xlsx,Politik | noun | C1
loben,loben,,verb,ほめる,to praise,lobte,hat gelobt,,,B2,german_vocab_master.xlsx,verb | B2
lohn,der Lohn,der,noun,賃金,wage,,,die Löhne,,A2,german_vocab_master.xlsx,Arbeit | noun | A2
lohnabzug,der Lohnabzug,der,noun,給与控除,wage deduction,,,die Lohnabzüge,,B1,german_vocab_master.xlsx,noun | B1
luft,die Luft,die,noun,空気,air,,,,,A2,german_vocab_master.xlsx,noun | A2
luftverschmutzung,die Luftverschmutzung,die,noun,大気汚染,air pollution,,,,,B2,german_vocab_master.xlsx,Umwelt | noun | B2
lunge,die Lunge,die,noun,肺,lung,,,die Lungen,,A2,german_vocab_master.xlsx,Gesundheit | noun | A2
lustig,lustig,,adj,楽しい／面白い,"fun, funny",,,,,A1,german_vocab_master.xlsx,Farben | adj | A1
löschen,löschen,,verb,削除する,to delete,löschte,hat gelöscht,,,A2,german_vocab_master.xlsx,verb | A2
lösen,lösen,,verb,解く,to solve,löste,hat gelöst,,,A2,german_vocab_master.xlsx,verb | A2
lösung,die Lösung,die,noun,解決策,solution,,,die Lösungen,,A2,german_vocab_master.xlsx,noun | A2
lüge,die Lüge,die,noun,嘘,lie,,,die Lügen,,B2,german_vocab_master.xlsx,noun | B2
machen,machen,,verb,する／作る,"to do, make",machte,hat gemacht,,,A1,german_vocab_master.xlsx,verb | A1
machen zu (+dat.),machen zu (+Dat.),,verb,〜にする,to make into / turn into,machte,gemacht,,,B1,german_vocab_master.xlsx,verb | B1
magen,der Magen,der,noun,胃,stomach,,,die Mägen,,A2,german_vocab_master.xlsx,Gesundheit | noun | A2
mahlzeit,die Mahlzeit,die,noun,食事,meal,,,die Mahlzeiten,,A2,german_vocab_master.xlsx,Essen | noun | A2
mai,der Mai,der,noun,5月,May,,,,,A1,german_vocab_master.xlsx,Zeit | noun | A1
manchmal,manchmal,,adv,時々,sometimes,,,,,A1,german_vocab_master.xlsx,adv | A1
mandat,das Mandat,das,noun,委任,mandate,,,die Mandate,,C1,german_vocab_master.xlsx,Politik | noun | C1
mann,der Mann,der,noun,男／夫,"man, husband",,,die Männer,,A1,german_vocab_master.xlsx,Familie | noun | A1
mannschaft,die Mannschaft,die,noun,チーム,team,,,die Mannschaften,,A2,german_vocab_master.xlsx,Arbeit | Freizeit | noun | A2
mantel,der Mantel,der,noun,コート,coat,,,die Mäntel,,A1,german_vocab_master.xlsx,Kleidung | noun | A1
marke,die Marke,die,noun,ブランド,brand,,,die Marken,,B2,german_vocab_master.xlsx,Wirtschaft | noun | B2
marketing,das Marketing,das,noun,マーケティング,marketing,,,,,B2,german_vocab_master.xlsx,Wirtschaft | noun | B2
markt,der Markt,der,noun,市場,market,,,die Märkte,,A2,german_vocab_master.xlsx,Einkaufen | noun | A2
marktforschung,die Marktforschung,die,noun,市場調査,market research,,,,,B2,german_vocab_master.xlsx,Wirtschaft | Wissenschaft | noun | B2
marmelade,die Marmelade,die,noun,ジャム,jam,,,die Marmeladen,,A2,german_vocab_master.xlsx,Essen | noun | A2
maschine,die Maschine,die,noun,機械,machine,,,die Maschinen,,B2,german_vocab_master.xlsx,Wissenschaft | noun | B2
massenmedium,das Massenmedium,das,noun,マスメディア,mass medium,,,die Massenmedien,,B2,german_vocab_master.xlsx,Medien | noun | B2
masterarbeit,die Masterarbeit,die,noun,修士論文,master's thesis,,,die Masterarbeiten,,B2,german_vocab_master.xlsx,Bildung | noun | B2
mathematik,die Mathematik,die,noun,数学,mathematics,,,,,B2,german_vocab_master.xlsx,Wissenschaft | noun | B2
maus,die Maus,die,noun,マウス／ねずみ,mouse,,,die Mäuse,,A2,german_vocab_master.xlsx,noun | A2
maximal,maximal,,adj,最大の,maximum,,,,,B2,german_vocab_master.xlsx,adj | B2
maßgeblich,maßgeblich,,adj,決定的な,authoritative,,,,,C1,german_vocab_master.xlsx,adj | C1
maßnahme,die Maßnahme,die,noun,対策／措置,measure / step / action,,,die Maßnahmen,,B1,german_vocab_master.xlsx,noun | B1
maßstab,der Maßstab,der,noun,基準,"standard, scale",,,die Maßstäbe,,C1,german_vocab_master.xlsx,noun | C1
mechaniker,der Mechaniker,der,noun,整備士,mechanic,,,die Mechaniker,,A2,german_vocab_master.xlsx,Arbeit | noun | A2
medaille,die Medaille,die,noun,メダル,medal,,,die Medaillen,,A2,german_vocab_master.xlsx,Freizeit | noun | A2
medien,die Medien,die,noun,メディア,media,,,,plural,B2,german_vocab_master.xlsx,Medien | noun | B2
medikament,das Medikament,das,noun,薬,medicine,,,die Medikamente,,A1,german_vocab_master.xlsx,Gesundheit | noun | A1
medizin,die Medizin,die,noun,医学,medicine,,,,,B2,german_vocab_master.xlsx,Wissenschaft | noun | B2
meer,das Meer,das,noun,海,sea,,,die Meere,,A2,german_vocab_master.xlsx,noun | A2
mehl,das Mehl,das,noun,小麦粉,flour,,,die Mehle,,A2,german_vocab_master.xlsx,Essen | noun | A2
mehrheit,die Mehrheit,die,noun,多数派,majority,,,die Mehrheiten,,B2,german_vocab_master.xlsx,Politik | noun | B2
mein,mein,,pron,私の,my,,,,possessive,A1,german_vocab_master.xlsx,pron | A1
meinung,die Meinung,die,noun,意見,opinion,,,die Meinungen,,A2,german_vocab_master.xlsx,noun | A2
meinungsfreiheit,die Meinungsfreiheit,die,noun,言論の自由,freedom of speech,,,(uncountable),,B1,german_vocab_master.xlsx,noun | B1
meistens,meistens,,adv,たいてい,mostly,,,,,A2,german_vocab_master.xlsx,adv | A2
menge,die Menge,die,noun,量／大量,quantity / amount / crowd,,,die Mengen,,B1,german_vocab_master.xlsx,noun | B1
mensch,der Mensch,der,noun,人間,human,,,die Menschen,,A1,german_vocab_master.xlsx,noun | A1
menschenkenntnis,die Menschenkenntnis,die,noun,人を見る目,knowledge of human nature,,,(uncountable),,B1,german_vocab_master.xlsx,noun | B1
menschenwürde,die Menschenwürde,die,noun,人間の尊厳,human dignity,,,(uncountable),,B1,german_vocab_master.xlsx,noun | B1
menschlich,menschlich,,adj,人間的な,human / humane,,,,,B1,german_vocab_master.xlsx,adj | B1
merken,merken,,verb,気づく／覚える,to notice / remember / realize,merkte,gemerkt,,,B1,german_vocab_master.xlsx,verb | B1
messen,messen,,verb,測る,to measure,maß,hat gemessen,,irregular,A2,german_vocab_master.xlsx,verb | A2
methode,die Methode,die,noun,方法,method,,,die Methoden,,B2,german_vocab_master.xlsx,Wissenschaft | noun | B2
metzger,der Metzger,der,noun,肉屋,butcher,,,die Metzger,,A2,german_vocab_master.xlsx,Essen | noun | A2
miete,die Miete,die,noun,家賃,rent,,,die Mieten,,A2,german_vocab_master.xlsx,Wohnen | Einkaufen | noun | A2
mieten,mieten,,verb,賃貸する（借りる）,to rent,mietete,hat gemietet,,,A2,german_vocab_master.xlsx,Wohnen | Einkaufen | verb | A2
mieter,der Mieter,der,noun,賃借人,tenant,,,die Mieter,,A2,german_vocab_master.xlsx,Wohnen | noun | A2
migrant,der Migrant,der,noun,移民,migrant,,,die Migranten,n-decl,C1,german_vocab_master.xlsx,Gesellschaft | noun | C1
migration,die Migration,die,noun,移住,migration,,,die Migrationen,,C1,german_vocab_master.xlsx,Gesellschaft | noun | C1
migrieren,migrieren,,verb,移住する,to migrate,migrierte,ist migriert,,,C1,german_vocab_master.xlsx,Gesellschaft | verb | C1
milch,die Milch,die,noun,牛乳,milk,,,,no plural,A1,german_vocab_master.xlsx,Essen | noun | A1
minderheit,die Minderheit,die,noun,少数派,minority,,,die Minderheiten,,B1,german_vocab_master.xlsx,noun | B1
mindesthaltbarkeitsdatum,das Mindesthaltbarkeitsdatum,das,noun,賞味期限,best-before date,,,die Mindesthaltbarkeitsdaten,,B1,german_vocab_master.xlsx,noun | B1
mineralwasser,das Mineralwasser,das,noun,ミネラルウォーター,mineral water,,,die Mineralwässer,,A2,german_vocab_master.xlsx,Essen | noun | A2
minimal,minimal,,adj,最小の,minimum,,,,,B2,german_vocab_master.xlsx,adj | B2
minister,der Minister,der,noun,大臣,minister,,,die Minister,,A2,german_vocab_master.xlsx,noun | A2
minute,die Minute,die,noun,分,minute,,,die Minuten,,A1,german_vocab_master.xlsx,Zeit | noun | A1
minutiös,minutiös,,adj,細かい／念入りな,meticulous / minute / precise,,,,,B1,german_vocab_master.xlsx,Zeit | adj | B1
missverstehen,missverstehen,,verb,誤解する,to misunderstand,missverstand,hat missverstanden,,irregular,A2,german_vocab_master.xlsx,verb | A2
mit,mit,,prep,〜と一緒に,with,,,,+ Dat.,A1,german_vocab_master.xlsx,prep | A1
mitbestimmen,mitbestimmen,,verb,共同決定する,to have a say / participate in decision-making,bestimmte mit,mitbestimmt,,,B1,german_vocab_master.xlsx,verb | B1
mitbringen,mitbringen,,verb,持参する,to bring along,brachte mit,hat mitgebracht,,separable,A1,german_vocab_master.xlsx,verb | A1
miteinander,das Miteinander,das,noun,共生／共存,coexistence / living together,,,(uncountable),,B1,german_vocab_master.xlsx,noun | B1
mitglied,das Mitglied,das,noun,メンバー／会員,member,,,die Mitglieder,,B1,german_vocab_master.xlsx,noun | B1
mitkommen,mitkommen,,verb,一緒に来る,to come along,kam mit,ist mitgekommen,,separable,A1,german_vocab_master.xlsx,verb | A1
mitleid,das Mitleid,das,noun,同情,sympathy,,,,,B2,german_vocab_master.xlsx,Gefühle | noun | B2
mitnehmen,mitnehmen,,verb,持っていく,to take along / bring with,nahm mit,mitgenommen,,,B1,german_vocab_master.xlsx,verb | B1
mittag,der Mittag,der,noun,正午,noon,,,die Mittage,,A1,german_vocab_master.xlsx,noun | A1
mittagessen,das Mittagessen,das,noun,昼食,lunch,,,die Mittagessen,,A1,german_vocab_master.xlsx,Essen | noun | A1
mitteilung,die Mitteilung,die,noun,通知,notification,,,die Mitteilungen,,A2,german_vocab_master.xlsx,noun | A2
mittelfristig,mittelfristig,,adj,中期的な,medium-term,,,,,C1,german_vocab_master.xlsx,adj | C1
mittels,mittels,,prep,～によって,by means of,,,,+Gen,B2,german_vocab_master.xlsx,prep | B2
mittelschicht,die Mittelschicht,die,noun,中流階級,middle class,,,die Mittelschichten,,C1,german_vocab_master.xlsx,Gesellschaft | noun | C1
mittlerweile,mittlerweile,,adv,今では／その間に,by now / in the meantime / meanwhile,,,,,B1,german_vocab_master.xlsx,adv | B1
mittwoch,der Mittwoch,der,noun,水曜日,Wednesday,,,die Mittwoche,,A1,german_vocab_master.xlsx,Essen | Zeit | noun | A1
modern,modern,,adj,現代的な,modern,,,,,A2,german_vocab_master.xlsx,adj | A2
modifikation,die Modifikation,die,noun,修正,modification,,,die Modifikationen,,C1,german_vocab_master.xlsx,Wissenschaft | noun | C1
modifizieren,modifizieren,,verb,修正する,to modify,modifizierte,hat modifiziert,,,C1,german_vocab_master.xlsx,verb | C1
monat,der Monat,der,noun,月,month,,,die Monate,,A1,german_vocab_master.xlsx,Zeit | noun | A1
mond,der Mond,der,noun,月,moon,,,die Monde,,A2,german_vocab_master.xlsx,Zeit | noun | A2
montag,der Montag,der,noun,月曜日,Monday,,,die Montage,,A1,german_vocab_master.xlsx,Zeit | noun | A1
mord,der Mord,der,noun,殺人,murder,,,die Morde,,B2,german_vocab_master.xlsx,Politik | noun | B2
morgen,morgen,der,adv,明日 | 朝,tomorrow | morning,,,die Morgen,,A1,german_vocab_master.xlsx,Zeit | adv | A1 | noun
moschee,die Moschee,die,noun,モスク,mosque,,,die Moscheen,,A2,german_vocab_master.xlsx,noun | A2
motivation,die Motivation,die,noun,動機付け,motivation,,,die Motivationen,,C1,german_vocab_master.xlsx,noun | C1
motivieren,motivieren,,verb,動機づける,to motivate,motivierte,hat motiviert,,,C1,german_vocab_master.xlsx,verb | C1
mund,der Mund,der,noun,口,mouth,,,die Münder,,A1,german_vocab_master.xlsx,noun | A1
museum,das Museum,das,noun,博物館,museum,,,die Museen,,A1,german_vocab_master.xlsx,Freizeit | noun | A1
musik,die Musik,die,noun,音楽,music,,,,no plural typical,A1,german_vocab_master.xlsx,Freizeit | noun | A1
muskel,der Muskel,der,noun,筋肉,muscle,,,die Muskeln,,A2,german_vocab_master.xlsx,Essen | Gesundheit | noun | A2
muster,das Muster,das,noun,見本／パターン／手本,sample / pattern / model,,,die Muster,,B1,german_vocab_master.xlsx,Freizeit | noun | B1
mut,der Mut,der,noun,勇気,courage / bravery,,,(uncountable),,B1,german_vocab_master.xlsx,noun | B1
mutig,mutig,,adj,勇敢な,brave,,,,,A2,german_vocab_master.xlsx,Gefühle | adj | A2
mutter,die Mutter,die,noun,母,mother,,,die Mütter,,A1,german_vocab_master.xlsx,Familie | noun | A1
muttersprache,die Muttersprache,die,noun,母語,mother tongue,,,die Muttersprachen,,A2,german_vocab_master.xlsx,Familie | Schule | noun | A2
mädchen,das Mädchen,das,noun,女の子,girl,,,die Mädchen,,A1,german_vocab_master.xlsx,Familie | noun | A1
märchen,das Märchen,das,noun,童話,fairy tale,,,die Märchen,,A2,german_vocab_master.xlsx,noun | A2
märz,der März,der,noun,3月,March,,,,,A1,german_vocab_master.xlsx,Zeit | noun | A1
möbel,die Möbel,die,noun,家具,furniture,,,,plural,A2,german_vocab_master.xlsx,Wohnen | noun | A2
möbliert,möbliert,,adj,家具付きの,furnished,,,,,A2,german_vocab_master.xlsx,Wohnen | adj | A2
möchten,möchten,,verb,〜したい,would like,wollte,hat gewollt,,subjunctive form,A1,german_vocab_master.xlsx,verb | A1
mögen,mögen,,verb,好む,to like,mochte,hat gemocht,,,A1,german_vocab_master.xlsx,verb | A1
möglich,möglich,,adj,可能な,possible,,,,,A1,german_vocab_master.xlsx,adj | A1
möglicherweise,möglicherweise,,adv,もしかすると,possibly / perhaps,,,,,B1,german_vocab_master.xlsx,adv | B1
möglichst,möglichst,,adv,できる限り,as ... as possible / if possible,,,,,B1,german_vocab_master.xlsx,adv | B1
möhre,die Möhre,die,noun,ニンジン,carrot (regional),,,die Möhren,,A2,german_vocab_master.xlsx,Essen | noun | A2
müde,müde,,adj,疲れた,tired,,,,,A1,german_vocab_master.xlsx,Gefühle | adj | A1
mühe,die Mühe,die,noun,苦労／努力,effort / trouble / pains,,,die Mühen,,B1,german_vocab_master.xlsx,noun | B1
müll,der Müll,der,noun,ごみ,trash,,,,,A2,german_vocab_master.xlsx,Wohnen | noun | A2
müllberg,der Müllberg,der,noun,ゴミの山,mountain of waste / rubbish heap,,,die Müllberge,,B1,german_vocab_master.xlsx,noun | B1
mülltonne,die Mülltonne,die,noun,ごみ箱,trash can,,,die Mülltonnen,,A2,german_vocab_master.xlsx,Wohnen | noun | A2
mülltrennung,die Mülltrennung,die,noun,ごみ分別,waste separation,,,,,B2,german_vocab_master.xlsx,Umwelt | noun | B2
münze,die Münze,die,noun,硬貨,coin,,,die Münzen,,A2,german_vocab_master.xlsx,Einkaufen | noun | A2
müssen,müssen,,verb,〜しなければならない,"must, to have to",musste,hat gemusst,,modal,A1,german_vocab_master.xlsx,verb | A1
mütze,die Mütze,die,noun,ニット帽,cap,,,die Mützen,,A1,german_vocab_master.xlsx,Kleidung | noun | A1
nach,nach,,prep,〜の後に／〜へ,"after, to",,,,+ Dat.,A1,german_vocab_master.xlsx,prep | A1
nachbar,der Nachbar,der,noun,隣人,neighbour,,,die Nachbarn,,A2,german_vocab_master.xlsx,noun | A2
nachbarin,die Nachbarin,die,noun,隣人（女）,neighbour (f),,,die Nachbarinnen,,A2,german_vocab_master.xlsx,noun | A2
nachdem,nachdem,,conj,～した後で,after,,,,subordinating,A2,german_vocab_master.xlsx,conj | A2
nachhaltig,nachhaltig,,adj,持続可能な,sustainable,,,,,B1,german_vocab_master.xlsx,adj | B1
nachhaltigkeit,die Nachhaltigkeit,die,noun,持続可能性,sustainability,,,,,B2,german_vocab_master.xlsx,Umwelt | noun | B2
nachher,nachher,,adv,後で,afterwards,,,,,A2,german_vocab_master.xlsx,adv | A2
nachmittag,der Nachmittag,der,noun,午後,afternoon,,,die Nachmittage,,A1,german_vocab_master.xlsx,noun | A1
nachname,der Nachname,der,noun,姓,last name,,,die Nachnamen,,A1,german_vocab_master.xlsx,noun | A1
nachricht,die Nachricht,die,noun,知らせ／ニュース,"message, news",,,die Nachrichten,,A2,german_vocab_master.xlsx,noun | A2
nachrichten,die Nachrichten,die,noun,ニュース,news,,,,plural,B2,german_vocab_master.xlsx,Medien | noun | B2
nachspeise,die Nachspeise,die,noun,デザート,dessert,,,die Nachspeisen,,A2,german_vocab_master.xlsx,noun | A2
nacht,die Nacht,die,noun,夜,night,,,die Nächte,,A1,german_vocab_master.xlsx,Zeit | noun | A1
nachtisch,der Nachtisch,der,noun,デザート,dessert,,,die Nachtische,,A2,german_vocab_master.xlsx,noun | A2
nachvollziehbar,nachvollziehbar,,adj,理解可能な,comprehensible,,,,,C1,german_vocab_master.xlsx,adj | C1
nachweisen,nachweisen,,verb,立証する,to prove,wies nach,hat nachgewiesen,,irregular,B2,german_vocab_master.xlsx,verb | B2
nagel,der Nagel,der,noun,爪,nail,,,die Nägel,,A2,german_vocab_master.xlsx,noun | A2
nahrungsmittel,das Nahrungsmittel,das,noun,食品,food / foodstuff,,,die Nahrungsmittel,,B1,german_vocab_master.xlsx,Essen | noun | B1
name,der Name,der,noun,名前,name,,,die Namen,,A1,german_vocab_master.xlsx,noun | A1
namensschild,das Namensschild,das,noun,名札,name tag / name plate,,,die Namensschilder,,B1,german_vocab_master.xlsx,Zeit | noun | B1
nase,die Nase,die,noun,鼻,nose,,,die Nasen,,A1,german_vocab_master.xlsx,noun | A1
nass,nass,,adj,濡れた,wet,,,,,A2,german_vocab_master.xlsx,adj | A2
natur,die Natur,die,noun,自然,nature,,,,,A2,german_vocab_master.xlsx,noun | A2
natürlich,natürlich,,adv,もちろん,of course,,,,,A1,german_vocab_master.xlsx,adv | A1
nc,der NC,der,noun,成績制限値,numerus clausus,,,,,B2,german_vocab_master.xlsx,Bildung | noun | B2
nebel,der Nebel,der,noun,霧,fog,,,die Nebel,,A2,german_vocab_master.xlsx,Wetter | noun | A2
neben,neben,,prep,〜の隣に,next to,,,,+ Akk./Dat.,A1,german_vocab_master.xlsx,prep | A1
nebenbei bemerkt,nebenbei bemerkt,,phrase,ちなみに,by the way,,,,,C1,german_vocab_master.xlsx,phrase | C1
nebenkosten,die Nebenkosten,die,noun,光熱費,utilities,,,,plural,A2,german_vocab_master.xlsx,Wohnen | noun | A2
nehmen,nehmen,,verb,取る,to take,nahm,genommen,,,B1,german_vocab_master.xlsx,verb | B1
nein,nein,,adv,いいえ,no,,,,,A1,german_vocab_master.xlsx,adv | A1
nennen,nennen,,verb,呼ぶ／名づける,to name / call,nannte,genannt,,,B1,german_vocab_master.xlsx,verb | B1
nervös,nervös,,adj,緊張した,nervous,,,,,A2,german_vocab_master.xlsx,Gefühle | adj | A2
nett,nett,,adj,親切な,nice,,,,,A1,german_vocab_master.xlsx,adj | A1
neu,neu,,adj,新しい,new,,,,,A1,german_vocab_master.xlsx,adj | A1
neulich,neulich,,adv,最近,recently,,,,,A2,german_vocab_master.xlsx,adv | A2
neun,neun,,num,9,nine,,,,,A1,german_vocab_master.xlsx,num | A1
neunzehn,neunzehn,,num,19,nineteen,,,,,A1,german_vocab_master.xlsx,num | A1
neunzig,neunzig,,num,90,ninety,,,,,A1,german_vocab_master.xlsx,num | A1
